dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,4.900977373123169,2.057422399520874,ok,,1035,676,263,96,259,,0,2.930704206134428e-06,False,False,False,0.5516331195831299,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.375,,,1.8416909961551944,,,0.0,TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,211.97152614593503,19.209466457366943,ok,,31492,20553,8015,2924,7874,0.0198271367698907,30,2.930704206134428e-06,True,False,False,193.534383058548,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9870041039671684,0.9870041039671684,0.0,0.0379479754770143,0.0394183607033116,0.0014703852262973,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,19.47003173828125,2.401538848876953,ok,,8000,5221,2036,743,2000,0.3009772598743438,30,2.930704206134428e-06,True,True,True,16.23072624206543,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8546433378196501,0.8559892328398385,0.0013458950201884,0.3416167695626071,0.3423854527218509,0.0007686831592437,0.0,Gate passed: gate_accuracy_delta=0.001346 > threshold=0.000000
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7346428571428572,633.9900205135345,53.18819713592529,ok,,56000,36548,14252,5200,14000,0.559442400932312,30,2.930704206134428e-06,True,True,True,586.8103549480438,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7351923076923077,0.7353846153846154,0.0001923076923077,0.5336622128464679,0.5339991052368253,0.0003368923903573,0.0,Gate passed: gate_accuracy_delta=0.000192 > threshold=0.000000
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,4.121342897415161,0.6336891651153564,ok,,1792,1170,456,166,448,0.0591784156858921,30,2.930704206134428e-06,True,False,False,2.486923694610596,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9036144578313252,0.9036144578313252,0.0,0.2556855774130645,0.2563408170895829,0.0006552396765184,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.849624060150376,6.550644636154175,0.9121394157409668,ok,,3722,2429,947,346,931,0.4617917537689209,30,2.930704206134428e-06,True,True,True,5.049471139907837,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8670520231213873,0.8728323699421965,0.0057803468208091,0.3181354193895218,0.3175200440229957,-0.0006153753665261,0.0,Gate passed: gate_accuracy_delta=0.005780 > threshold=0.000000
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7134055904164289,261.7927713394165,23.062166213989254,ok,,35060,22881,8923,3256,8765,0.5462864637374878,30,2.930704206134428e-06,True,True,True,239.95552015304563,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7205159705159705,0.7245085995085995,0.0039926289926289,0.5510713709895748,0.5466968940013917,-0.0043744769881831,0.0,Gate passed: gate_accuracy_delta=0.003993 > threshold=0.000000
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7086138049058757,261.5358667373657,23.16839957237244,ok,,35060,22881,8923,3256,8765,0.6896260976791382,30,2.930704206134428e-06,True,False,False,239.45323085784912,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7066953316953317,0.7014742014742015,-0.0052211302211302,0.5742029270687857,0.5734387431507679,-0.0007641839180178,0.0,Gate rejected: gate_accuracy_delta=-0.005221 <= threshold=0.000000
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7166212534059946,3.5613834857940674,0.399843692779541,ok,,1467,958,373,136,367,0.6894630789756775,30,2.930704206134428e-06,True,False,False,1.863184690475464,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7279411764705882,0.7279411764705882,0.0,0.5361944863568797,0.5354313059598237,-0.000763180397056,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7933333333333333,2.4731762409210205,0.2317104339599609,ok,,1200,783,305,112,300,0.3142887949943542,30,2.930704206134428e-06,True,True,True,1.5403940677642822,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6696428571428571,0.6785714285714286,0.0089285714285715,0.5831020722523529,0.5803001280458066,-0.0028019442065463,0.0,Gate passed: gate_accuracy_delta=0.008929 > threshold=0.000000
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.611578947368421,7.035961866378784,1.018070936203003,ok,,3796,2477,966,353,950,0.6845976114273071,30,2.930704206134428e-06,True,True,True,5.372978925704956,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6317280453257791,0.6402266288951841,0.008498583569405,0.7832206743323131,0.7831089117420567,-0.0001117625902564,0.0,Gate passed: gate_accuracy_delta=0.008499 > threshold=0.000000
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8639455782312925,3.3756227493286133,0.4374668598175049,ok,,1176,768,299,109,294,0.0587604083120822,30,2.930704206134428e-06,True,True,True,1.8859782218933103,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8440366972477065,0.8532110091743119,0.0091743119266054,0.370188460620789,0.3768726265735291,0.0066841659527401,0.0,Gate passed: gate_accuracy_delta=0.009174 > threshold=0.000000
